Generated by http://statistics.gov.scot,2018-07-27T10:33:24+00:00
http://statistics.gov.scot/data/scottish-index-multiple-deprivation,Scottish Index of Multiple Deprivation 2004-2012
measure type,Decile
Reference Period,2004
Measure (cell values): ,Decile(Decile)

,,http://statistics.gov.scot/def/concept/simd-domain/access-to-services,http://statistics.gov.scot/def/concept/simd-domain/education-skills-and-training,http://statistics.gov.scot/def/concept/simd-domain/employment,http://statistics.gov.scot/def/concept/simd-domain/health,http://statistics.gov.scot/def/concept/simd-domain/housing,http://statistics.gov.scot/def/concept/simd-domain/income,http://statistics.gov.scot/def/concept/simd-domain/simd
http://statistics.gov.scot/id/statistical-geography/S01000052,S01000052,6,1,3,2,3,3,2
http://statistics.gov.scot/id/statistical-geography/S01000053,S01000053,9,8,10,6,7,7,9
http://statistics.gov.scot/id/statistical-geography/S01000054,S01000054,8,9,10,8,10,9,10
http://statistics.gov.scot/id/statistical-geography/S01000055,S01000055,7,2,3,2,3,2,2
http://statistics.gov.scot/id/statistical-geography/S01000056,S01000056,2,10,10,10,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000057,S01000057,7,2,3,2,2,2,2
http://statistics.gov.scot/id/statistical-geography/S01000058,S01000058,9,10,10,9,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000059,S01000059,7,9,9,8,10,9,10
http://statistics.gov.scot/id/statistical-geography/S01000060,S01000060,6,2,1,1,3,1,1
http://statistics.gov.scot/id/statistical-geography/S01000061,S01000061,3,10,10,10,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000062,S01000062,10,10,10,9,3,10,10
http://statistics.gov.scot/id/statistical-geography/S01000063,S01000063,10,10,10,10,8,9,10
http://statistics.gov.scot/id/statistical-geography/S01000064,S01000064,8,4,7,5,4,6,6
http://statistics.gov.scot/id/statistical-geography/S01000065,S01000065,9,9,8,6,4,8,9
http://statistics.gov.scot/id/statistical-geography/S01000066,S01000066,10,4,5,2,1,5,4
http://statistics.gov.scot/id/statistical-geography/S01000067,S01000067,9,9,9,8,9,9,10
http://statistics.gov.scot/id/statistical-geography/S01000068,S01000068,8,10,10,8,8,9,10
http://statistics.gov.scot/id/statistical-geography/S01000069,S01000069,9,3,3,2,2,3,3
http://statistics.gov.scot/id/statistical-geography/S01000070,S01000070,9,1,4,4,3,3,3
http://statistics.gov.scot/id/statistical-geography/S01000071,S01000071,9,2,3,1,2,1,2
http://statistics.gov.scot/id/statistical-geography/S01000072,S01000072,2,10,9,6,8,7,8
http://statistics.gov.scot/id/statistical-geography/S01000073,S01000073,6,10,9,9,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000074,S01000074,4,1,2,1,2,1,1
http://statistics.gov.scot/id/statistical-geography/S01000075,S01000075,10,7,10,7,4,9,9
http://statistics.gov.scot/id/statistical-geography/S01000076,S01000076,2,10,10,9,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000077,S01000077,10,10,10,9,8,9,10
http://statistics.gov.scot/id/statistical-geography/S01000078,S01000078,10,4,4,3,1,3,3
http://statistics.gov.scot/id/statistical-geography/S01000079,S01000079,10,10,10,7,4,9,10
http://statistics.gov.scot/id/statistical-geography/S01000080,S01000080,10,9,9,7,3,9,9
http://statistics.gov.scot/id/statistical-geography/S01000081,S01000081,7,10,10,10,9,10,10
http://statistics.gov.scot/id/statistical-geography/S01000082,S01000082,5,3,3,3,3,3,3
http://statistics.gov.scot/id/statistical-geography/S01000083,S01000083,10,10,10,7,5,10,10
http://statistics.gov.scot/id/statistical-geography/S01000084,S01000084,10,4,3,1,1,4,3
http://statistics.gov.scot/id/statistical-geography/S01000085,S01000085,10,5,7,5,1,7,7
http://statistics.gov.scot/id/statistical-geography/S01000086,S01000086,10,10,10,6,6,8,10
http://statistics.gov.scot/id/statistical-geography/S01000087,S01000087,5,10,10,9,9,9,10
http://statistics.gov.scot/id/statistical-geography/S01000088,S01000088,10,7,9,7,6,7,9
http://statistics.gov.scot/id/statistical-geography/S01000089,S01000089,2,10,10,9,10,9,10
http://statistics.gov.scot/id/statistical-geography/S01000090,S01000090,10,10,10,8,4,9,10
http://statistics.gov.scot/id/statistical-geography/S01000091,S01000091,10,7,7,5,2,7,7
http://statistics.gov.scot/id/statistical-geography/S01000092,S01000092,10,8,10,7,2,9,9
http://statistics.gov.scot/id/statistical-geography/S01000093,S01000093,10,6,8,4,2,7,7
http://statistics.gov.scot/id/statistical-geography/S01000094,S01000094,10,6,9,6,3,7,8
http://statistics.gov.scot/id/statistical-geography/S01000095,S01000095,10,9,10,9,4,10,10
http://statistics.gov.scot/id/statistical-geography/S01000096,S01000096,4,8,3,1,4,4,3
http://statistics.gov.scot/id/statistical-geography/S01000097,S01000097,9,10,10,10,9,10,10
http://statistics.gov.scot/id/statistical-geography/S01000098,S01000098,10,5,4,2,1,4,3
http://statistics.gov.scot/id/statistical-geography/S01000099,S01000099,4,10,10,9,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000100,S01000100,10,7,7,4,4,6,7
http://statistics.gov.scot/id/statistical-geography/S01000101,S01000101,10,10,10,9,6,9,10
http://statistics.gov.scot/id/statistical-geography/S01000102,S01000102,10,4,3,2,2,3,3
http://statistics.gov.scot/id/statistical-geography/S01000103,S01000103,10,6,10,8,2,10,9
http://statistics.gov.scot/id/statistical-geography/S01000104,S01000104,5,10,10,9,10,9,10
http://statistics.gov.scot/id/statistical-geography/S01000105,S01000105,3,10,10,9,9,10,10
http://statistics.gov.scot/id/statistical-geography/S01000106,S01000106,9,10,10,9,9,10,10
http://statistics.gov.scot/id/statistical-geography/S01000107,S01000107,9,3,7,5,1,7,6
http://statistics.gov.scot/id/statistical-geography/S01000108,S01000108,6,5,5,2,2,3,4
http://statistics.gov.scot/id/statistical-geography/S01000109,S01000109,10,6,6,3,1,6,6
http://statistics.gov.scot/id/statistical-geography/S01000110,S01000110,4,8,7,5,7,7,7
http://statistics.gov.scot/id/statistical-geography/S01000111,S01000111,10,9,10,8,8,9,10
http://statistics.gov.scot/id/statistical-geography/S01000112,S01000112,10,5,5,3,2,4,4
http://statistics.gov.scot/id/statistical-geography/S01000113,S01000113,10,10,10,7,9,10,10
http://statistics.gov.scot/id/statistical-geography/S01000114,S01000114,5,3,4,3,4,4,4
http://statistics.gov.scot/id/statistical-geography/S01000115,S01000115,8,3,4,3,3,4,4
http://statistics.gov.scot/id/statistical-geography/S01000116,S01000116,10,9,10,7,1,9,9
http://statistics.gov.scot/id/statistical-geography/S01000117,S01000117,9,10,10,9,9,8,10
http://statistics.gov.scot/id/statistical-geography/S01000118,S01000118,7,4,5,3,4,4,5
http://statistics.gov.scot/id/statistical-geography/S01000119,S01000119,10,7,4,3,1,4,4
http://statistics.gov.scot/id/statistical-geography/S01000120,S01000120,10,9,8,5,3,8,8
http://statistics.gov.scot/id/statistical-geography/S01000121,S01000121,7,9,5,4,7,6,6
http://statistics.gov.scot/id/statistical-geography/S01000122,S01000122,5,2,6,4,4,3,4
http://statistics.gov.scot/id/statistical-geography/S01000123,S01000123,2,9,9,9,9,9,9
http://statistics.gov.scot/id/statistical-geography/S01000124,S01000124,10,6,8,4,1,7,7
http://statistics.gov.scot/id/statistical-geography/S01000125,S01000125,10,3,4,3,2,3,4
http://statistics.gov.scot/id/statistical-geography/S01000126,S01000126,9,5,4,1,1,3,3
http://statistics.gov.scot/id/statistical-geography/S01000127,S01000127,9,10,10,9,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000128,S01000128,10,4,7,5,1,7,6
http://statistics.gov.scot/id/statistical-geography/S01000129,S01000129,10,6,10,8,1,10,9
http://statistics.gov.scot/id/statistical-geography/S01000130,S01000130,10,4,5,2,1,5,4
http://statistics.gov.scot/id/statistical-geography/S01000131,S01000131,10,10,10,9,4,10,10
http://statistics.gov.scot/id/statistical-geography/S01000132,S01000132,10,9,9,6,2,9,9
http://statistics.gov.scot/id/statistical-geography/S01000133,S01000133,6,2,6,4,3,5,5
http://statistics.gov.scot/id/statistical-geography/S01000134,S01000134,7,3,5,2,3,2,3
http://statistics.gov.scot/id/statistical-geography/S01000135,S01000135,10,4,3,1,2,3,2
http://statistics.gov.scot/id/statistical-geography/S01000136,S01000136,8,2,5,3,3,3,3
http://statistics.gov.scot/id/statistical-geography/S01000137,S01000137,10,7,8,6,2,5,7
http://statistics.gov.scot/id/statistical-geography/S01000138,S01000138,10,7,4,1,1,6,4
http://statistics.gov.scot/id/statistical-geography/S01000139,S01000139,7,3,6,3,2,5,5
http://statistics.gov.scot/id/statistical-geography/S01000140,S01000140,2,4,7,3,4,6,5
http://statistics.gov.scot/id/statistical-geography/S01000141,S01000141,8,10,9,6,7,10,10
http://statistics.gov.scot/id/statistical-geography/S01000142,S01000142,8,1,4,2,2,2,2
http://statistics.gov.scot/id/statistical-geography/S01000143,S01000143,3,10,10,10,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000144,S01000144,10,5,8,3,1,8,6
http://statistics.gov.scot/id/statistical-geography/S01000145,S01000145,4,3,4,2,6,4,3
http://statistics.gov.scot/id/statistical-geography/S01000146,S01000146,10,4,3,1,1,3,3
http://statistics.gov.scot/id/statistical-geography/S01000147,S01000147,10,6,5,2,1,6,4
http://statistics.gov.scot/id/statistical-geography/S01000148,S01000148,7,2,3,3,2,1,2
http://statistics.gov.scot/id/statistical-geography/S01000149,S01000149,10,5,7,3,1,6,6
http://statistics.gov.scot/id/statistical-geography/S01000150,S01000150,9,2,5,4,3,4,4
http://statistics.gov.scot/id/statistical-geography/S01000151,S01000151,7,4,3,3,4,4,4
http://statistics.gov.scot/id/statistical-geography/S01000152,S01000152,10,8,6,8,6,7,8
http://statistics.gov.scot/id/statistical-geography/S01000153,S01000153,9,3,5,3,2,4,4
http://statistics.gov.scot/id/statistical-geography/S01000154,S01000154,6,1,4,3,3,5,4
http://statistics.gov.scot/id/statistical-geography/S01000155,S01000155,9,4,5,2,3,5,4
http://statistics.gov.scot/id/statistical-geography/S01000156,S01000156,9,2,5,2,1,3,3
http://statistics.gov.scot/id/statistical-geography/S01000157,S01000157,7,4,2,2,5,3,3
http://statistics.gov.scot/id/statistical-geography/S01000158,S01000158,7,5,6,4,4,5,5
http://statistics.gov.scot/id/statistical-geography/S01000159,S01000159,4,8,10,9,10,8,9
http://statistics.gov.scot/id/statistical-geography/S01000160,S01000160,8,2,6,4,3,5,5
http://statistics.gov.scot/id/statistical-geography/S01000161,S01000161,10,6,10,9,3,9,10
http://statistics.gov.scot/id/statistical-geography/S01000162,S01000162,7,6,6,5,5,5,6
http://statistics.gov.scot/id/statistical-geography/S01000163,S01000163,6,2,5,3,2,5,4
http://statistics.gov.scot/id/statistical-geography/S01000164,S01000164,8,4,5,2,2,4,4
http://statistics.gov.scot/id/statistical-geography/S01000165,S01000165,8,3,3,2,3,3,3
http://statistics.gov.scot/id/statistical-geography/S01000166,S01000166,10,6,9,6,2,8,8
http://statistics.gov.scot/id/statistical-geography/S01000167,S01000167,7,3,5,4,5,5,5
http://statistics.gov.scot/id/statistical-geography/S01000168,S01000168,9,2,5,4,2,3,4
http://statistics.gov.scot/id/statistical-geography/S01000169,S01000169,7,5,4,4,8,5,5
http://statistics.gov.scot/id/statistical-geography/S01000170,S01000170,8,6,9,7,2,8,8
http://statistics.gov.scot/id/statistical-geography/S01000171,S01000171,1,8,10,10,10,9,9
http://statistics.gov.scot/id/statistical-geography/S01000172,S01000172,7,5,9,6,4,7,8
http://statistics.gov.scot/id/statistical-geography/S01000173,S01000173,6,4,5,3,4,5,4
http://statistics.gov.scot/id/statistical-geography/S01000174,S01000174,2,9,10,10,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000175,S01000175,10,4,5,5,2,6,6
http://statistics.gov.scot/id/statistical-geography/S01000176,S01000176,9,3,9,6,2,8,7
http://statistics.gov.scot/id/statistical-geography/S01000177,S01000177,9,7,10,9,8,8,10
http://statistics.gov.scot/id/statistical-geography/S01000178,S01000178,7,2,5,3,3,4,4
http://statistics.gov.scot/id/statistical-geography/S01000179,S01000179,8,2,2,1,2,2,2
http://statistics.gov.scot/id/statistical-geography/S01000180,S01000180,9,3,5,3,2,4,4
http://statistics.gov.scot/id/statistical-geography/S01000181,S01000181,5,2,4,3,2,2,3
http://statistics.gov.scot/id/statistical-geography/S01000182,S01000182,8,3,4,3,3,3,3
http://statistics.gov.scot/id/statistical-geography/S01000183,S01000183,8,2,4,2,2,2,3
http://statistics.gov.scot/id/statistical-geography/S01000184,S01000184,9,8,7,6,8,8,8
http://statistics.gov.scot/id/statistical-geography/S01000185,S01000185,8,2,2,1,3,2,2
http://statistics.gov.scot/id/statistical-geography/S01000186,S01000186,7,7,6,5,7,5,6
http://statistics.gov.scot/id/statistical-geography/S01000187,S01000187,5,2,4,4,3,3,3
http://statistics.gov.scot/id/statistical-geography/S01000188,S01000188,9,6,6,2,2,6,5
http://statistics.gov.scot/id/statistical-geography/S01000189,S01000189,5,1,3,3,2,1,2
http://statistics.gov.scot/id/statistical-geography/S01000190,S01000190,9,2,4,2,4,4,3
http://statistics.gov.scot/id/statistical-geography/S01000191,S01000191,9,6,8,7,6,7,8
http://statistics.gov.scot/id/statistical-geography/S01000192,S01000192,9,1,4,2,2,2,2
http://statistics.gov.scot/id/statistical-geography/S01000193,S01000193,10,1,4,2,2,4,3
http://statistics.gov.scot/id/statistical-geography/S01000194,S01000194,9,2,3,1,3,2,2
http://statistics.gov.scot/id/statistical-geography/S01000195,S01000195,8,2,2,1,3,3,2
http://statistics.gov.scot/id/statistical-geography/S01000196,S01000196,9,1,3,2,3,1,1
http://statistics.gov.scot/id/statistical-geography/S01000197,S01000197,9,2,6,3,2,5,4
http://statistics.gov.scot/id/statistical-geography/S01000198,S01000198,6,1,2,1,3,1,1
http://statistics.gov.scot/id/statistical-geography/S01000199,S01000199,9,2,2,1,3,1,1
http://statistics.gov.scot/id/statistical-geography/S01000200,S01000200,8,5,4,3,3,3,4
http://statistics.gov.scot/id/statistical-geography/S01000201,S01000201,6,3,4,2,3,4,4
http://statistics.gov.scot/id/statistical-geography/S01000202,S01000202,10,5,6,4,4,4,6
http://statistics.gov.scot/id/statistical-geography/S01000203,S01000203,8,1,2,1,3,1,1
http://statistics.gov.scot/id/statistical-geography/S01000204,S01000204,6,1,3,2,3,4,3
http://statistics.gov.scot/id/statistical-geography/S01000205,S01000205,9,4,6,3,2,5,5
http://statistics.gov.scot/id/statistical-geography/S01000206,S01000206,4,5,6,4,6,6,5
http://statistics.gov.scot/id/statistical-geography/S01000207,S01000207,8,2,2,2,3,2,2
http://statistics.gov.scot/id/statistical-geography/S01000208,S01000208,6,1,1,1,3,1,1
http://statistics.gov.scot/id/statistical-geography/S01000209,S01000209,7,1,1,1,3,1,1
http://statistics.gov.scot/id/statistical-geography/S01000210,S01000210,10,3,1,1,2,2,2
http://statistics.gov.scot/id/statistical-geography/S01000211,S01000211,7,2,2,1,2,2,2
http://statistics.gov.scot/id/statistical-geography/S01000212,S01000212,3,2,4,4,3,3,3
http://statistics.gov.scot/id/statistical-geography/S01000213,S01000213,8,1,3,1,2,2,2
http://statistics.gov.scot/id/statistical-geography/S01000214,S01000214,4,5,6,5,7,7,6
http://statistics.gov.scot/id/statistical-geography/S01000215,S01000215,1,10,10,6,9,7,7
http://statistics.gov.scot/id/statistical-geography/S01000216,S01000216,8,5,6,5,5,9,7
http://statistics.gov.scot/id/statistical-geography/S01000217,S01000217,7,1,2,1,2,2,2
http://statistics.gov.scot/id/statistical-geography/S01000218,S01000218,5,3,5,3,7,5,5
http://statistics.gov.scot/id/statistical-geography/S01000219,S01000219,8,1,3,2,2,2,2
http://statistics.gov.scot/id/statistical-geography/S01000220,S01000220,7,4,10,7,5,7,8
http://statistics.gov.scot/id/statistical-geography/S01000221,S01000221,5,4,5,2,3,3,3
http://statistics.gov.scot/id/statistical-geography/S01000222,S01000222,8,4,5,5,3,6,5
http://statistics.gov.scot/id/statistical-geography/S01000223,S01000223,6,6,5,6,4,7,6
http://statistics.gov.scot/id/statistical-geography/S01000224,S01000224,7,5,5,5,5,5,6
http://statistics.gov.scot/id/statistical-geography/S01000225,S01000225,6,6,9,7,6,7,8
http://statistics.gov.scot/id/statistical-geography/S01000226,S01000226,8,9,9,7,9,9,10
http://statistics.gov.scot/id/statistical-geography/S01000227,S01000227,4,9,10,9,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000228,S01000228,9,5,9,5,4,7,8
http://statistics.gov.scot/id/statistical-geography/S01000229,S01000229,7,3,6,3,6,5,5
http://statistics.gov.scot/id/statistical-geography/S01000230,S01000230,3,5,7,5,3,6,6
http://statistics.gov.scot/id/statistical-geography/S01000231,S01000231,7,8,10,10,9,9,10
http://statistics.gov.scot/id/statistical-geography/S01000232,S01000232,6,3,5,4,3,4,4
http://statistics.gov.scot/id/statistical-geography/S01000233,S01000233,5,5,7,5,4,5,6
http://statistics.gov.scot/id/statistical-geography/S01000234,S01000234,4,8,9,5,8,10,9
http://statistics.gov.scot/id/statistical-geography/S01000235,S01000235,6,9,10,9,8,7,10
http://statistics.gov.scot/id/statistical-geography/S01000236,S01000236,7,8,7,7,9,7,8
http://statistics.gov.scot/id/statistical-geography/S01000237,S01000237,5,5,10,9,9,9,9
http://statistics.gov.scot/id/statistical-geography/S01000238,S01000238,6,8,10,9,7,10,10
http://statistics.gov.scot/id/statistical-geography/S01000239,S01000239,5,8,10,9,9,9,10
http://statistics.gov.scot/id/statistical-geography/S01000240,S01000240,9,8,9,8,6,9,10
http://statistics.gov.scot/id/statistical-geography/S01000241,S01000241,5,9,10,10,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000242,S01000242,4,8,10,8,2,9,9
http://statistics.gov.scot/id/statistical-geography/S01000243,S01000243,7,9,9,9,9,10,10
http://statistics.gov.scot/id/statistical-geography/S01000244,S01000244,7,6,8,6,5,8,8
http://statistics.gov.scot/id/statistical-geography/S01000245,S01000245,3,6,8,7,9,8,8
http://statistics.gov.scot/id/statistical-geography/S01000246,S01000246,5,7,10,8,7,9,9
http://statistics.gov.scot/id/statistical-geography/S01000247,S01000247,2,9,10,9,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000248,S01000248,4,8,10,9,6,10,10
http://statistics.gov.scot/id/statistical-geography/S01000249,S01000249,2,7,8,8,8,8,8
http://statistics.gov.scot/id/statistical-geography/S01000250,S01000250,3,9,10,9,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000251,S01000251,3,10,10,10,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000252,S01000252,3,8,10,10,5,10,9
http://statistics.gov.scot/id/statistical-geography/S01000253,S01000253,2,9,10,10,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000254,S01000254,2,10,10,10,9,10,9
http://statistics.gov.scot/id/statistical-geography/S01000255,S01000255,2,7,10,8,4,10,8
http://statistics.gov.scot/id/statistical-geography/S01000256,S01000256,2,9,9,6,8,7,8
http://statistics.gov.scot/id/statistical-geography/S01000257,S01000257,5,9,9,8,8,8,9
http://statistics.gov.scot/id/statistical-geography/S01000258,S01000258,2,10,10,10,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000259,S01000259,1,9,10,10,10,10,9
http://statistics.gov.scot/id/statistical-geography/S01000260,S01000260,2,8,10,10,9,10,10
http://statistics.gov.scot/id/statistical-geography/S01000261,S01000261,5,9,10,10,9,10,10
http://statistics.gov.scot/id/statistical-geography/S01000262,S01000262,5,8,9,6,8,9,9
http://statistics.gov.scot/id/statistical-geography/S01000263,S01000263,1,7,9,6,9,8,7
http://statistics.gov.scot/id/statistical-geography/S01000264,S01000264,5,6,7,5,5,6,6
http://statistics.gov.scot/id/statistical-geography/S01000265,S01000265,4,5,7,4,4,6,6
http://statistics.gov.scot/id/statistical-geography/S01000266,S01000266,1,5,9,8,8,8,7
http://statistics.gov.scot/id/statistical-geography/S01000267,S01000267,3,5,7,6,8,6,6
http://statistics.gov.scot/id/statistical-geography/S01000268,S01000268,3,6,7,8,7,5,7
http://statistics.gov.scot/id/statistical-geography/S01000269,S01000269,1,8,8,10,9,9,8
http://statistics.gov.scot/id/statistical-geography/S01000270,S01000270,1,7,9,9,6,8,7
http://statistics.gov.scot/id/statistical-geography/S01000271,S01000271,1,9,7,8,5,6,6
http://statistics.gov.scot/id/statistical-geography/S01000272,S01000272,2,8,9,8,5,6,8
http://statistics.gov.scot/id/statistical-geography/S01000273,S01000273,1,6,8,10,9,7,6
http://statistics.gov.scot/id/statistical-geography/S01000274,S01000274,4,5,8,8,6,5,7
http://statistics.gov.scot/id/statistical-geography/S01000275,S01000275,7,7,9,9,7,6,9
http://statistics.gov.scot/id/statistical-geography/S01000276,S01000276,6,9,10,10,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000277,S01000277,10,8,9,10,8,7,9
http://statistics.gov.scot/id/statistical-geography/S01000278,S01000278,10,4,7,7,8,5,6
http://statistics.gov.scot/id/statistical-geography/S01000279,S01000279,3,9,10,10,5,7,8
http://statistics.gov.scot/id/statistical-geography/S01000280,S01000280,1,6,8,8,7,7,7
http://statistics.gov.scot/id/statistical-geography/S01000281,S01000281,1,6,6,8,3,5,5
http://statistics.gov.scot/id/statistical-geography/S01000282,S01000282,1,6,8,9,4,8,7
http://statistics.gov.scot/id/statistical-geography/S01000283,S01000283,1,9,9,10,6,7,8
http://statistics.gov.scot/id/statistical-geography/S01000284,S01000284,1,9,10,10,4,9,8
http://statistics.gov.scot/id/statistical-geography/S01000285,S01000285,1,8,9,10,7,9,8
http://statistics.gov.scot/id/statistical-geography/S01000286,S01000286,10,8,8,9,6,7,9
http://statistics.gov.scot/id/statistical-geography/S01000287,S01000287,5,10,10,10,9,8,10
http://statistics.gov.scot/id/statistical-geography/S01000288,S01000288,4,7,10,10,9,9,10
http://statistics.gov.scot/id/statistical-geography/S01000289,S01000289,9,8,8,8,7,7,9
http://statistics.gov.scot/id/statistical-geography/S01000290,S01000290,9,4,7,9,6,4,6
http://statistics.gov.scot/id/statistical-geography/S01000291,S01000291,6,10,10,10,10,9,10
http://statistics.gov.scot/id/statistical-geography/S01000292,S01000292,9,9,9,10,9,10,10
http://statistics.gov.scot/id/statistical-geography/S01000293,S01000293,10,8,7,7,6,6,8
http://statistics.gov.scot/id/statistical-geography/S01000294,S01000294,4,9,10,9,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000295,S01000295,2,9,10,10,10,10,10
